modelo,batch,precisao_lexical,recall_lexical,f1_lexical,precisao_exact,recall_exact,f1_exact
Claude_Sonnet5,1,0.19298245614035087,0.4230769230769231,0.2650602409638554,0.12280701754385964,0.2692307692307692,0.16867469879518074
Claude_Sonnet5,2,0.12631578947368421,0.27906976744186046,0.1739130434782609,0.08421052631578947,0.18604651162790697,0.11594202898550726
Claude_Sonnet5,3,0.24691358024691357,0.5,0.3305785123966942,0.18518518518518517,0.375,0.2479338842975207
Claude_Sonnet5,4,0.22784810126582278,0.391304347826087,0.288,0.13924050632911392,0.2391304347826087,0.176
Claude_Sonnet5,5,0.2524271844660194,0.4406779661016949,0.3209876543209876,0.18446601941747573,0.3220338983050847,0.2345679012345679
Claude_Sonnet5,6,0.22535211267605634,0.41025641025641024,0.2909090909090909,0.11267605633802817,0.20512820512820512,0.14545454545454545
Claude_Sonnet5,7,0.22916666666666666,0.5641025641025641,0.3259259259259259,0.15625,0.38461538461538464,0.22222222222222224
Claude_Sonnet5,8,0.1927710843373494,0.4,0.26016260162601623,0.13253012048192772,0.275,0.1788617886178862
Claude_Sonnet5,9,0.1780821917808219,0.325,0.23008849557522124,0.1095890410958904,0.2,0.1415929203539823
Claude_Sonnet5,10,0.22413793103448276,0.4482758620689655,0.2988505747126437,0.13793103448275862,0.27586206896551724,0.1839080459770115
PTOIE-Flair,1,0.4117647058823529,0.1346153846153846,0.2028985507246377,0.35294117647058826,0.11538461538461539,0.1739130434782609
PTOIE-Flair,2,0.45161290322580644,0.32558139534883723,0.3783783783783784,0.2903225806451613,0.20930232558139536,0.24324324324324326
PTOIE-Flair,3,0.5833333333333334,0.35,0.4375,0.4583333333333333,0.275,0.34374999999999994
PTOIE-Flair,4,0.6153846153846154,0.34782608695652173,0.4444444444444444,0.5,0.2826086956521739,0.3611111111111111
PTOIE-Flair,5,0.46153846153846156,0.2033898305084746,0.28235294117647064,0.4230769230769231,0.1864406779661017,0.25882352941176473
PTOIE-Flair,6,0.6538461538461539,0.4358974358974359,0.523076923076923,0.5769230769230769,0.38461538461538464,0.46153846153846156
PTOIE-Flair,7,0.625,0.38461538461538464,0.4761904761904762,0.5,0.3076923076923077,0.380952380952381
PTOIE-Flair,8,0.5263157894736842,0.25,0.3389830508474576,0.47368421052631576,0.225,0.30508474576271183
PTOIE-Flair,9,0.75,0.45,0.5625000000000001,0.6666666666666666,0.4,0.5
PTOIE-Flair,10,0.7857142857142857,0.3793103448275862,0.5116279069767441,0.6428571428571429,0.3103448275862069,0.4186046511627907
respostaDPTOIE-PY,1,0.2926829268292683,0.23076923076923078,0.25806451612903225,0.0975609756097561,0.07692307692307693,0.08602150537634409
respostaDPTOIE-PY,2,0.14285714285714285,0.11627906976744186,0.1282051282051282,0.08571428571428572,0.06976744186046512,0.07692307692307693
respostaDPTOIE-PY,3,0.2962962962962963,0.2,0.23880597014925375,0.18518518518518517,0.125,0.14925373134328357
respostaDPTOIE-PY,4,0.26666666666666666,0.17391304347826086,0.2105263157894737,0.03333333333333333,0.021739130434782608,0.026315789473684213
respostaDPTOIE-PY,5,0.24324324324324326,0.15254237288135594,0.18750000000000003,0.13513513513513514,0.0847457627118644,0.10416666666666667
respostaDPTOIE-PY,6,0.3333333333333333,0.2564102564102564,0.2898550724637681,0.13333333333333333,0.10256410256410256,0.11594202898550725
respostaDPTOIE-PY,7,0.13793103448275862,0.10256410256410256,0.11764705882352941,0.06896551724137931,0.05128205128205128,0.058823529411764705
respostaDPTOIE-PY,8,0.14814814814814814,0.1,0.11940298507462688,0.07407407407407407,0.05,0.05970149253731344
respostaDPTOIE-PY,9,0.1875,0.15,0.16666666666666663,0.125,0.1,0.11111111111111112
respostaDPTOIE-PY,10,0.0,0.0,0.0,0.0,0.0,0.0
respostaGrok4.0Fast,1,0.2702702702702703,0.38461538461538464,0.31746031746031744,0.16216216216216217,0.23076923076923078,0.19047619047619047
respostaGrok4.0Fast,2,0.3333333333333333,0.3488372093023256,0.3409090909090909,0.26666666666666666,0.27906976744186046,0.2727272727272727
respostaGrok4.0Fast,3,0.5,0.5,0.5,0.425,0.425,0.425
respostaGrok4.0Fast,4,0.5555555555555556,0.43478260869565216,0.4878048780487805,0.4444444444444444,0.34782608695652173,0.3902439024390244
respostaGrok4.0Fast,5,0.5,0.288135593220339,0.3655913978494624,0.38235294117647056,0.22033898305084745,0.27956989247311825
