modelo,batch,precisao_lexical,recall_lexical,f1_lexical,precisao_exact,recall_exact,f1_exact
Claude_Sonnet5,1,0.2692307692307692,0.40384615384615385,0.32307692307692304,0.1794871794871795,0.2692307692307692,0.2153846153846154
Claude_Sonnet5,2,0.19718309859154928,0.32558139534883723,0.2456140350877193,0.11267605633802817,0.18604651162790697,0.14035087719298245
Claude_Sonnet5,3,0.3584905660377358,0.475,0.4086021505376344,0.2641509433962264,0.35,0.30107526881720426
Claude_Sonnet5,4,0.37037037037037035,0.43478260869565216,0.39999999999999997,0.18518518518518517,0.21739130434782608,0.19999999999999998
Claude_Sonnet5,5,0.3188405797101449,0.3728813559322034,0.34375,0.18840579710144928,0.22033898305084745,0.20312499999999997
Claude_Sonnet5,6,0.3,0.38461538461538464,0.33707865168539325,0.26,0.3333333333333333,0.2921348314606742
Claude_Sonnet5,7,0.3157894736842105,0.46153846153846156,0.37499999999999994,0.21052631578947367,0.3076923076923077,0.25
Claude_Sonnet5,8,0.4,0.5,0.4444444444444445,0.26,0.325,0.2888888888888889
Claude_Sonnet5,9,0.24489795918367346,0.3,0.2696629213483146,0.12244897959183673,0.15,0.1348314606741573
Claude_Sonnet5,10,0.26666666666666666,0.41379310344827586,0.32432432432432434,0.15555555555555556,0.2413793103448276,0.18918918918918917
Gemini3.1Pro,1,0.2222222222222222,0.46153846153846156,0.3,0.12037037037037036,0.25,0.1625
Gemini3.1Pro,2,0.18181818181818182,0.37209302325581395,0.24427480916030533,0.07954545454545454,0.16279069767441862,0.1068702290076336
Gemini3.1Pro,3,0.26865671641791045,0.45,0.3364485981308411,0.1791044776119403,0.3,0.22429906542056072
Gemini3.1Pro,4,0.16455696202531644,0.2826086956521739,0.208,0.0379746835443038,0.06521739130434782,0.048
Gemini3.1Pro,5,0.21649484536082475,0.3559322033898305,0.2692307692307692,0.13402061855670103,0.22033898305084745,0.16666666666666666
Gemini3.1Pro,6,0.1518987341772152,0.3076923076923077,0.2033898305084746,0.11392405063291139,0.23076923076923078,0.15254237288135594
Gemini3.1Pro,7,0.25675675675675674,0.48717948717948717,0.33628318584070793,0.17567567567567569,0.3333333333333333,0.23008849557522124
Gemini3.1Pro,8,0.19753086419753085,0.4,0.2644628099173554,0.12345679012345678,0.25,0.1652892561983471
Gemini3.1Pro,9,0.13333333333333333,0.25,0.1739130434782609,0.08,0.15,0.10434782608695653
Gemini3.1Pro,10,0.13559322033898305,0.27586206896551724,0.18181818181818182,0.03389830508474576,0.06896551724137931,0.045454545454545456
Grok4.0Fast,1,0.1595744680851064,0.28846153846153844,0.20547945205479454,0.1276595744680851,0.23076923076923078,0.1643835616438356
Grok4.0Fast,2,0.175,0.32558139534883723,0.22764227642276424,0.125,0.23255813953488372,0.1626016260162602
Grok4.0Fast,3,0.35,0.525,0.42,0.2,0.3,0.24
Grok4.0Fast,4,0.26229508196721313,0.34782608695652173,0.29906542056074764,0.13114754098360656,0.17391304347826086,0.14953271028037382
Grok4.0Fast,5,0.2692307692307692,0.3559322033898305,0.30656934306569344,0.19230769230769232,0.2542372881355932,0.21897810218978103
Grok4.0Fast,6,0.2878787878787879,0.48717948717948717,0.3619047619047619,0.24242424242424243,0.41025641025641024,0.3047619047619048
Grok4.0Fast,7,0.23863636363636365,0.5384615384615384,0.3307086614173228,0.19318181818181818,0.4358974358974359,0.2677165354330709
Grok4.0Fast,8,0.20930232558139536,0.45,0.28571428571428575,0.1511627906976744,0.325,0.20634920634920634
Grok4.0Fast,9,0.16666666666666666,0.25,0.2,0.06666666666666667,0.1,0.08
Grok4.0Fast,10,0.2692307692307692,0.4827586206896552,0.345679012345679,0.15384615384615385,0.27586206896551724,0.19753086419753088
respostas_gpt5.5_mini,1,0.2169811320754717,0.4423076923076923,0.29113924050632906,0.14150943396226415,0.28846153846153844,0.189873417721519
respostas_gpt5.5_mini,2,0.16666666666666666,0.37209302325581395,0.2302158273381295,0.10416666666666667,0.23255813953488372,0.14388489208633096
respostas_gpt5.5_mini,3,0.30666666666666664,0.575,0.39999999999999997,0.21333333333333335,0.4,0.2782608695652174
respostas_gpt5.5_mini,4,0.24050632911392406,0.41304347826086957,0.304,0.11392405063291139,0.1956521739130435,0.144
respostas_gpt5.5_mini,5,0.22340425531914893,0.3559322033898305,0.2745098039215686,0.14893617021276595,0.23728813559322035,0.1830065359477124
respostas_gpt5.5_mini,6,0.2236842105263158,0.4358974358974359,0.2956521739130435,0.17105263157894737,0.3333333333333333,0.2260869565217391
respostas_gpt5.5_mini,7,0.23529411764705882,0.6153846153846154,0.3404255319148936,0.20588235294117646,0.5384615384615384,0.2978723404255319
respostas_gpt5.5_mini,8,0.24096385542168675,0.5,0.3252032520325203,0.21686746987951808,0.45,0.2926829268292683
respostas_gpt5.5_mini,9,0.21052631578947367,0.4,0.27586206896551724,0.13157894736842105,0.25,0.1724137931034483
respostas_gpt5.5_mini,10,0.23529411764705882,0.41379310344827586,0.3,0.1568627450980392,0.27586206896551724,0.2
