modelo,n_frases_gold_total,n_frases_pred,n_frases_pareadas,n_triplas_gold_total,n_triplas_gold_pareadas,n_triplas_pred,media_triplas_gold_por_frase,media_triplas_pred_por_frase,razao_pred_gold
DptOIE,262,262,262,427,427,1677,1.6297709923664123,6.400763358778626,3.927400468384075
Qwen3OIE_4B,262,262,262,427,427,1048,1.6297709923664123,4.0,2.4543325526932085
Qwen3OIE_0_6B,262,262,262,427,427,942,1.6297709923664123,3.595419847328244,2.2060889929742387
Claude_Sonnet5,262,262,262,427,427,853,1.6297709923664123,3.2557251908396947,1.9976580796252927
respostasGemini3.1Pro,262,262,261,427,424,728,1.6245210727969348,2.789272030651341,1.7169811320754718
respostas_gpt5.5_mini,262,262,262,427,427,685,1.6297709923664123,2.614503816793893,1.604215456674473
LlamaPortOIE3,262,262,262,427,427,495,1.6297709923664123,1.8893129770992367,1.1592505854800936
respostaDPTOIE-PY,262,262,262,427,427,379,1.6297709923664123,1.4465648854961832,0.8875878220140515
respostaGrok4.0Fast,262,262,262,427,427,368,1.6297709923664123,1.4045801526717556,0.8618266978922716
PortNOIE,262,262,262,427,427,272,1.6297709923664123,1.0381679389312977,0.6370023419203747
