modelo,batch,precisao_lexical,recall_lexical,f1_lexical,precisao_exact,recall_exact,f1_exact
Claude_Sonnet5,1,0.13709677419354838,0.3269230769230769,0.19318181818181818,0.10483870967741936,0.25,0.14772727272727273
Claude_Sonnet5,2,0.1415929203539823,0.37209302325581395,0.20512820512820512,0.035398230088495575,0.09302325581395349,0.05128205128205128
Claude_Sonnet5,3,0.2,0.45,0.27692307692307694,0.12222222222222222,0.275,0.1692307692307692
Claude_Sonnet5,4,0.2222222222222222,0.34782608695652173,0.2711864406779661,0.1388888888888889,0.21739130434782608,0.1694915254237288
Claude_Sonnet5,5,0.22916666666666666,0.3728813559322034,0.2838709677419355,0.125,0.2033898305084746,0.15483870967741936
Claude_Sonnet5,6,0.2247191011235955,0.5128205128205128,0.31249999999999994,0.06741573033707865,0.15384615384615385,0.09374999999999999
Claude_Sonnet5,7,0.21505376344086022,0.5128205128205128,0.303030303030303,0.08602150537634409,0.20512820512820512,0.12121212121212123
Claude_Sonnet5,8,0.18681318681318682,0.425,0.2595419847328244,0.06593406593406594,0.15,0.09160305343511449
Claude_Sonnet5,9,0.21839080459770116,0.475,0.2992125984251969,0.10344827586206896,0.225,0.14173228346456693
Claude_Sonnet5,10,0.20967741935483872,0.4482758620689655,0.2857142857142857,0.08064516129032258,0.1724137931034483,0.1098901098901099
PortugueseT5OIE_Abstractive,1,0.13636363636363635,0.28846153846153844,0.18518518518518517,0.10909090909090909,0.23076923076923078,0.14814814814814817
PortugueseT5OIE_Abstractive,2,0.15151515151515152,0.3488372093023256,0.2112676056338028,0.10101010101010101,0.23255813953488372,0.1408450704225352
PortugueseT5OIE_Abstractive,3,0.1958762886597938,0.475,0.2773722627737226,0.17525773195876287,0.425,0.24817518248175183
PortugueseT5OIE_Abstractive,4,0.25316455696202533,0.43478260869565216,0.32000000000000006,0.21518987341772153,0.3695652173913043,0.27199999999999996
PortugueseT5OIE_Abstractive,5,0.2079207920792079,0.3559322033898305,0.2625,0.18811881188118812,0.3220338983050847,0.2375
PortugueseT5OIE_Abstractive,6,0.1782178217821782,0.46153846153846156,0.2571428571428571,0.12871287128712872,0.3333333333333333,0.18571428571428572
PortugueseT5OIE_Abstractive,7,0.16981132075471697,0.46153846153846156,0.2482758620689655,0.11320754716981132,0.3076923076923077,0.16551724137931037
PortugueseT5OIE_Abstractive,8,0.2289156626506024,0.475,0.30894308943089427,0.1686746987951807,0.35,0.22764227642276422
PortugueseT5OIE_Abstractive,9,0.19230769230769232,0.5,0.2777777777777778,0.125,0.325,0.18055555555555555
PortugueseT5OIE_Abstractive,10,0.22388059701492538,0.5172413793103449,0.31250000000000006,0.19402985074626866,0.4482758620689655,0.27083333333333337
respostaGrok4.0Fast,1,0.2682926829268293,0.4230769230769231,0.3283582089552239,0.13414634146341464,0.21153846153846154,0.16417910447761194
respostaGrok4.0Fast,2,0.3076923076923077,0.37209302325581395,0.3368421052631579,0.21153846153846154,0.2558139534883721,0.23157894736842105
respostaGrok4.0Fast,3,0.4827586206896552,0.35,0.4057971014492754,0.4482758620689655,0.325,0.3768115942028986
respostaGrok4.0Fast,4,0.6538461538461539,0.3695652173913043,0.4722222222222222,0.5,0.2826086956521739,0.3611111111111111
respostaGrok4.0Fast,5,0.5,0.2033898305084746,0.2891566265060241,0.375,0.15254237288135594,0.21686746987951805
respostaGrok4.0Fast,6,0.6206896551724138,0.46153846153846156,0.5294117647058824,0.4482758620689655,0.3333333333333333,0.38235294117647056
respostaGrok4.0Fast,7,0.6923076923076923,0.46153846153846156,0.553846153846154,0.5769230769230769,0.38461538461538464,0.46153846153846156
respostaGrok4.0Fast,8,0.5217391304347826,0.3,0.38095238095238093,0.5217391304347826,0.3,0.38095238095238093
respostaGrok4.0Fast,9,0.782608695652174,0.45,0.5714285714285714,0.6521739130434783,0.375,0.4761904761904762
respostaGrok4.0Fast,10,0.7368421052631579,0.4827586206896552,0.5833333333333334,0.6842105263157895,0.4482758620689655,0.5416666666666666
respostasGemini3.1Pro,1,0.19791666666666666,0.36538461538461536,0.25675675675675674,0.16666666666666666,0.3076923076923077,0.21621621621621623
respostasGemini3.1Pro,2,0.18681318681318682,0.3953488372093023,0.25373134328358204,0.13186813186813187,0.27906976744186046,0.1791044776119403
