modelo,batch,precisao_lexical,recall_lexical,f1_lexical,precisao_exact,recall_exact,f1_exact
Claude_Sonnet5,1,0.2692307692307692,0.40384615384615385,0.32307692307692304,0.1794871794871795,0.2692307692307692,0.2153846153846154
Claude_Sonnet5,2,0.19718309859154928,0.32558139534883723,0.2456140350877193,0.11267605633802817,0.18604651162790697,0.14035087719298245
Claude_Sonnet5,3,0.3584905660377358,0.475,0.4086021505376344,0.2641509433962264,0.35,0.30107526881720426
Claude_Sonnet5,4,0.37037037037037035,0.43478260869565216,0.39999999999999997,0.18518518518518517,0.21739130434782608,0.19999999999999998
Claude_Sonnet5,5,0.3188405797101449,0.3728813559322034,0.34375,0.18840579710144928,0.22033898305084745,0.20312499999999997
Claude_Sonnet5,6,0.3,0.38461538461538464,0.33707865168539325,0.26,0.3333333333333333,0.2921348314606742
Claude_Sonnet5,7,0.3157894736842105,0.46153846153846156,0.37499999999999994,0.21052631578947367,0.3076923076923077,0.25
Claude_Sonnet5,8,0.4,0.5,0.4444444444444445,0.26,0.325,0.2888888888888889
Claude_Sonnet5,9,0.24489795918367346,0.3,0.2696629213483146,0.12244897959183673,0.15,0.1348314606741573
Claude_Sonnet5,10,0.26666666666666666,0.41379310344827586,0.32432432432432434,0.15555555555555556,0.2413793103448276,0.18918918918918917
LlamaPortOIE3,1,0.3333333333333333,0.3269230769230769,0.3300970873786408,0.19607843137254902,0.19230769230769232,0.19417475728155342
LlamaPortOIE3,2,0.3,0.4186046511627907,0.34951456310679613,0.26666666666666666,0.37209302325581395,0.31067961165048547
LlamaPortOIE3,3,0.34545454545454546,0.475,0.4,0.2545454545454545,0.35,0.29473684210526313
LlamaPortOIE3,4,0.4090909090909091,0.391304347826087,0.4,0.18181818181818182,0.17391304347826086,0.17777777777777776
LlamaPortOIE3,5,0.4107142857142857,0.3898305084745763,0.4,0.2857142857142857,0.2711864406779661,0.27826086956521734
LlamaPortOIE3,6,0.3333333333333333,0.38461538461538464,0.3571428571428571,0.2,0.23076923076923078,0.21428571428571427
LlamaPortOIE3,7,0.3469387755102041,0.4358974358974359,0.3863636363636364,0.24489795918367346,0.3076923076923077,0.2727272727272727
LlamaPortOIE3,8,0.35294117647058826,0.45,0.39560439560439564,0.27450980392156865,0.35,0.3076923076923077
LlamaPortOIE3,9,0.3191489361702128,0.375,0.3448275862068966,0.2127659574468085,0.25,0.2298850574712644
LlamaPortOIE3,10,0.40540540540540543,0.5172413793103449,0.4545454545454546,0.24324324324324326,0.3103448275862069,0.27272727272727276
PTOIE-Flair,1,0.4117647058823529,0.1346153846153846,0.2028985507246377,0.35294117647058826,0.11538461538461539,0.1739130434782609
PTOIE-Flair,2,0.45161290322580644,0.32558139534883723,0.3783783783783784,0.2903225806451613,0.20930232558139536,0.24324324324324326
PTOIE-Flair,3,0.5833333333333334,0.35,0.4375,0.4583333333333333,0.275,0.34374999999999994
PTOIE-Flair,4,0.6153846153846154,0.34782608695652173,0.4444444444444444,0.5,0.2826086956521739,0.3611111111111111
PTOIE-Flair,5,0.46153846153846156,0.2033898305084746,0.28235294117647064,0.4230769230769231,0.1864406779661017,0.25882352941176473
