modelo,n_frases_gold,n_frases_pareadas,cobertura,precisao_lexical,recall_lexical,f1_lexical,categoria
Claude_Sonnet5,262,259,0.9885496183206107,0.19740777666999004,0.47030878859857483,0.2780898876404495,AbstractiveOpenIE
Grok4.0Fast,262,262,1.0,0.4592391304347826,0.3957845433255269,0.42515723270440253,AbstractiveOpenIE
respostas_gpt5.5_mini,262,255,0.9732824427480916,0.22276621787025705,0.4406779661016949,0.2959349593495935,AbstractiveOpenIE
Claude_Sonnet5,262,262,1.0,0.20271416454622562,0.5597189695550351,0.29763387297633875,ExtrativoDPTO-IE
Grok4.0Fast,262,262,1.0,0.4670487106017192,0.38173302107728335,0.42010309278350516,ExtrativoDPTO-IE
PTOIE-Flair,262,212,0.8091603053435115,0.5800865800865801,0.391812865497076,0.4677137870855148,ExtrativoDPTO-IE
respostaDPTOIE-PY,262,260,0.9923664122137404,0.20052770448548812,0.1792452830188679,0.1892901618929016,ExtrativoDPTO-IE
respostas_gpt5.5_mini,262,262,1.0,0.21954022988505748,0.44730679156908665,0.2945258288357749,ExtrativoDPTO-IE
Claude_Sonnet5,262,258,0.9847328244274809,0.26397919375812745,0.48333333333333334,0.3414634146341463,ExtrativoOIEC-PT
Grok4.0Fast,262,262,1.0,0.5079365079365079,0.4496487119437939,0.4770186335403726,ExtrativoOIEC-PT
respostas_gpt5.5_mini,262,262,1.0,0.23890784982935154,0.4918032786885246,0.3215926493108729,ExtrativoOIEC-PT
