modelo,n_frases_gold_total,n_frases_pred,n_frases_pareadas,n_triplas_gold_total,n_triplas_gold_pareadas,n_triplas_pred,media_triplas_gold_por_frase,media_triplas_pred_por_frase,razao_pred_gold
Gemini3.1Pro,100,100,100,136,136,281,1.36,2.81,2.0661764705882355
DptOIE,100,100,100,136,136,277,1.36,2.77,2.036764705882353
Claude_Sonnet5,100,100,100,136,136,273,1.36,2.73,2.0073529411764706
respostas_gpt5.5_mini,100,95,95,136,125,219,1.3157894736842106,2.305263157894737,1.752
Qwen3OIE_4B,100,100,100,136,136,211,1.36,2.11,1.5514705882352942
Qwen3OIE_0_6B,100,100,100,136,136,209,1.36,2.09,1.536764705882353
Grok4.0Fast,100,100,100,136,136,205,1.36,2.05,1.5073529411764706
DPTOIE-PY,100,100,100,136,136,129,1.36,1.29,0.9485294117647058
LlamaPortOIE3,100,100,100,136,136,115,1.36,1.15,0.8455882352941176
PortNOIE,100,100,100,136,136,59,1.36,0.59,0.4338235294117647
