modelo,n_frases_gold,n_frases_pareadas,cobertura,precisao_lexical,recall_lexical,f1_lexical,categoria
Claude_Sonnet5,100,98,0.98,0.18681318681318682,0.375,0.24938875305623473,ExtrativoDPTO-IE
DPTOIE-PY,100,88,0.88,0.23255813953488372,0.2222222222222222,0.2272727272727273,ExtrativoDPTO-IE
Gemini3.1Pro,100,91,0.91,0.210727969348659,0.44,0.2849740932642488,ExtrativoDPTO-IE
Grok4.0Fast,100,98,0.98,0.22926829268292684,0.34558823529411764,0.27565982404692085,ExtrativoDPTO-IE
PTOIE-Flair,100,80,0.8,0.5057471264367817,0.3826086956521739,0.4356435643564357,ExtrativoDPTO-IE
respostas_gpt5.5_mini,100,93,0.93,0.1735159817351598,0.304,0.22093023255813954,ExtrativoDPTO-IE
Claude_Sonnet5,100,95,0.95,0.2789473684210526,0.38405797101449274,0.3231707317073171,ExtrativoOIEC-PT
Gemini3.1Pro,100,76,0.76,0.2994011976047904,0.42016806722689076,0.3496503496503497,ExtrativoOIEC-PT
Grok4.0Fast,100,78,0.78,0.304,0.3089430894308943,0.30645161290322587,ExtrativoOIEC-PT
respostas_gpt5.5_mini,100,93,0.93,0.20642201834862386,0.36,0.2623906705539359,ExtrativoOIEC-PT
