modelo,batch,precisao_lexical,recall_lexical,f1_lexical,precisao_exact,recall_exact,f1_exact
Claude_Sonnet5,1,0.3333333333333333,0.375,0.35294117647058826,0.2777777777777778,0.3125,0.29411764705882354
Claude_Sonnet5,2,0.15151515151515152,0.4166666666666667,0.2222222222222222,0.12121212121212122,0.3333333333333333,0.17777777777777776
Claude_Sonnet5,3,0.06060606060606061,0.2222222222222222,0.09523809523809523,0.0,0.0,0.0
Claude_Sonnet5,4,0.17391304347826086,0.3333333333333333,0.22857142857142854,0.13043478260869565,0.25,0.1714285714285714
Claude_Sonnet5,5,0.25925925925925924,0.4375,0.3255813953488372,0.2222222222222222,0.375,0.27906976744186046
Claude_Sonnet5,6,0.06896551724137931,0.2,0.10256410256410257,0.034482758620689655,0.1,0.05128205128205129
Claude_Sonnet5,7,0.25,0.4,0.3076923076923077,0.25,0.4,0.3076923076923077
Claude_Sonnet5,8,0.22580645161290322,0.4117647058823529,0.29166666666666663,0.12903225806451613,0.23529411764705882,0.16666666666666666
Claude_Sonnet5,9,0.16,0.26666666666666666,0.2,0.08,0.13333333333333333,0.1
Claude_Sonnet5,10,0.2727272727272727,0.6666666666666666,0.3870967741935484,0.18181818181818182,0.4444444444444444,0.2580645161290322
DPTOIE-PY,1,0.4,0.25,0.3076923076923077,0.3,0.1875,0.23076923076923075
DPTOIE-PY,2,0.07142857142857142,0.08333333333333333,0.07692307692307691,0.07142857142857142,0.08333333333333333,0.07692307692307691
DPTOIE-PY,3,0.09090909090909091,0.1111111111111111,0.09999999999999999,0.09090909090909091,0.1111111111111111,0.09999999999999999
DPTOIE-PY,4,0.23076923076923078,0.25,0.24000000000000002,0.15384615384615385,0.16666666666666666,0.16
DPTOIE-PY,5,0.2857142857142857,0.25,0.26666666666666666,0.0,0.0,0.0
DPTOIE-PY,6,0.15384615384615385,0.2,0.17391304347826086,0.0,0.0,0.0
DPTOIE-PY,7,0.2777777777777778,0.25,0.2631578947368421,0.16666666666666666,0.15,0.15789473684210525
DPTOIE-PY,8,0.26666666666666666,0.23529411764705882,0.25,0.13333333333333333,0.11764705882352941,0.125
DPTOIE-PY,9,0.23076923076923078,0.2,0.21428571428571427,0.07692307692307693,0.06666666666666667,0.07142857142857144
DPTOIE-PY,10,0.375,0.3333333333333333,0.35294117647058826,0.25,0.2222222222222222,0.23529411764705882
Gemini3.1Pro,1,0.35,0.4375,0.38888888888888884,0.25,0.3125,0.2777777777777778
Gemini3.1Pro,2,0.13043478260869565,0.25,0.1714285714285714,0.08695652173913043,0.16666666666666666,0.11428571428571427
Gemini3.1Pro,3,0.13333333333333333,0.4444444444444444,0.20512820512820512,0.0,0.0,0.0
Gemini3.1Pro,4,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.1111111111111111,0.16666666666666666,0.13333333333333333
Gemini3.1Pro,5,0.36,0.5625,0.43902439024390244,0.24,0.375,0.2926829268292683
Gemini3.1Pro,6,0.16666666666666666,0.5,0.25,0.1,0.3,0.15
Gemini3.1Pro,7,0.19047619047619047,0.4,0.25806451612903225,0.16666666666666666,0.35,0.22580645161290322
