modelo,batch,precisao_lexical,recall_lexical,f1_lexical,precisao_exact,recall_exact,f1_exact
Claude_Sonnet5,1,0.42105263157894735,0.5,0.45714285714285713,0.42105263157894735,0.5,0.45714285714285713
Claude_Sonnet5,2,0.15384615384615385,0.3333333333333333,0.21052631578947367,0.15384615384615385,0.3333333333333333,0.21052631578947367
Claude_Sonnet5,3,0.06666666666666667,0.1111111111111111,0.08333333333333334,0.0,0.0,0.0
Claude_Sonnet5,4,0.23529411764705882,0.3333333333333333,0.27586206896551724,0.11764705882352941,0.16666666666666666,0.13793103448275862
Claude_Sonnet5,5,0.4444444444444444,0.5,0.47058823529411764,0.4444444444444444,0.5,0.47058823529411764
Claude_Sonnet5,6,0.14285714285714285,0.3,0.19354838709677416,0.047619047619047616,0.1,0.06451612903225806
Claude_Sonnet5,7,0.3181818181818182,0.35,0.3333333333333333,0.22727272727272727,0.25,0.23809523809523808
Claude_Sonnet5,8,0.3,0.35294117647058826,0.3243243243243243,0.2,0.23529411764705882,0.2162162162162162
Claude_Sonnet5,9,0.3157894736842105,0.4,0.35294117647058826,0.15789473684210525,0.2,0.17647058823529413
Claude_Sonnet5,10,0.46153846153846156,0.5,0.48000000000000004,0.23076923076923078,0.25,0.24000000000000002
Gemini3.1Pro,1,0.42857142857142855,0.5625,0.4864864864864864,0.3333333333333333,0.4375,0.37837837837837834
Gemini3.1Pro,2,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.2222222222222222
Gemini3.1Pro,3,0.14285714285714285,0.2222222222222222,0.17391304347826086,0.07142857142857142,0.1111111111111111,0.08695652173913043
Gemini3.1Pro,4,0.26666666666666666,0.3333333333333333,0.2962962962962963,0.13333333333333333,0.16666666666666666,0.14814814814814814
Gemini3.1Pro,5,0.5,0.4375,0.4666666666666667,0.5,0.4375,0.4666666666666667
Gemini3.1Pro,6,0.17647058823529413,0.3,0.22222222222222224,0.11764705882352941,0.2,0.14814814814814817
Gemini3.1Pro,7,0.3333333333333333,0.3,0.3157894736842105,0.2777777777777778,0.25,0.2631578947368421
Gemini3.1Pro,8,0.17391304347826086,0.23529411764705882,0.19999999999999998,0.13043478260869565,0.17647058823529413,0.15
Gemini3.1Pro,9,0.4375,0.4666666666666667,0.45161290322580644,0.25,0.26666666666666666,0.2580645161290323
Gemini3.1Pro,10,0.4166666666666667,0.5555555555555556,0.4761904761904762,0.4166666666666667,0.5555555555555556,0.4761904761904762
Grok4.0Fast,1,0.5,0.25,0.3333333333333333,0.375,0.1875,0.25
Grok4.0Fast,2,0.25,0.4166666666666667,0.3125,0.2,0.3333333333333333,0.25
Grok4.0Fast,3,0.1,0.1111111111111111,0.10526315789473685,0.0,0.0,0.0
Grok4.0Fast,4,0.21428571428571427,0.25,0.23076923076923075,0.14285714285714285,0.16666666666666666,0.15384615384615383
Grok4.0Fast,5,0.6,0.375,0.4615384615384615,0.6,0.375,0.4615384615384615
Grok4.0Fast,6,0.25,0.4,0.3076923076923077,0.125,0.2,0.15384615384615385
Grok4.0Fast,7,0.3333333333333333,0.2,0.25,0.25,0.15,0.18749999999999997
Grok4.0Fast,8,0.25,0.17647058823529413,0.20689655172413793,0.25,0.17647058823529413,0.20689655172413793
Grok4.0Fast,9,0.3076923076923077,0.26666666666666666,0.28571428571428575,0.15384615384615385,0.13333333333333333,0.14285714285714288
Grok4.0Fast,10,0.4,0.4444444444444444,0.4210526315789474,0.4,0.4444444444444444,0.4210526315789474
respostas_gpt5.5_mini,1,0.3684210526315789,0.4375,0.39999999999999997,0.3684210526315789,0.4375,0.39999999999999997
respostas_gpt5.5_mini,2,0.11764705882352941,0.3333333333333333,0.1739130434782609,0.11764705882352941,0.3333333333333333,0.1739130434782609
respostas_gpt5.5_mini,3,0.05,0.1111111111111111,0.06896551724137932,0.0,0.0,0.0
respostas_gpt5.5_mini,4,0.19047619047619047,0.3333333333333333,0.24242424242424246,0.09523809523809523,0.16666666666666666,0.12121212121212123
respostas_gpt5.5_mini,5,0.375,0.5625,0.45,0.375,0.5625,0.45
respostas_gpt5.5_mini,6,0.13636363636363635,0.3,0.18749999999999997,0.09090909090909091,0.2,0.12500000000000003
respostas_gpt5.5_mini,7,0.21428571428571427,0.3,0.25,0.14285714285714285,0.2,0.16666666666666666
respostas_gpt5.5_mini,8,0.2631578947368421,0.29411764705882354,0.27777777777777773,0.21052631578947367,0.23529411764705882,0.2222222222222222
respostas_gpt5.5_mini,9,0.15,0.2,0.17142857142857143,0.1,0.13333333333333333,0.1142857142857143
respostas_gpt5.5_mini,10,0.2727272727272727,0.3333333333333333,0.3,0.2727272727272727,0.3333333333333333,0.3
