modelo,n_frases_gold,n_frases_pred,precisao_lexical,recall_lexical,f1_lexical,precisao_exact,recall_exact,f1_exact,n_erros_parsing,n_pred_sem_match,n_gold_sem_cobertura
Grok4.0Fast,100,100,0.22926829268292684,0.34558823529411764,0.27565982404692085,0.12682926829268293,0.19117647058823528,0.15249266862170088,0,0,0
Gemini3.1Pro,100,100,0.20284697508896798,0.41911764705882354,0.2733812949640288,0.12099644128113879,0.25,0.16306954436450838,0,0,0
Claude_Sonnet5,100,100,0.18681318681318682,0.375,0.24938875305623473,0.13553113553113552,0.27205882352941174,0.1809290953545232,0,0,0
DptOIE,100,100,0.18050541516245489,0.36764705882352944,0.2421307506053269,0.11552346570397112,0.23529411764705882,0.15496368038740918,0,0,0
Qwen3OIE_4B,100,100,0.1990521327014218,0.3088235294117647,0.24207492795389046,0.13744075829383887,0.21323529411764705,0.16714697406340057,0,0,0
DPTOIE-PY,100,100,0.23255813953488372,0.22058823529411764,0.22641509433962265,0.11627906976744186,0.11029411764705882,0.11320754716981132,0,0,0
respostas_gpt5.5_mini,100,95,0.1735159817351598,0.27941176470588236,0.21408450704225354,0.1004566210045662,0.16176470588235295,0.123943661971831,0,0,5
LlamaPortOIE3,100,100,0.22608695652173913,0.19117647058823528,0.20717131474103584,0.14782608695652175,0.125,0.13545816733067728,0,0,0
Qwen3OIE_0_6B,100,100,0.14354066985645933,0.22058823529411764,0.1739130434782609,0.10526315789473684,0.16176470588235295,0.12753623188405797,0,0,0
PortNOIE,100,100,0.23728813559322035,0.10294117647058823,0.14358974358974358,0.13559322033898305,0.058823529411764705,0.08205128205128205,0,0,0
